"","school_code","school_name","cluster","count","cluster_str","school_year","school_name","web_site","school_type","charter_status","school_address","prek_3","prek_4","preschool","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","latitude","longitude","ward","census_tract","elementary","middle","high"
"15",1100,"Achievement Preparatory Academy PCS",35,-1,"Cluster 35",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"16",1100,"Achievement Preparatory Academy PCS",36,-1,"Cluster 36",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"17",1100,"Achievement Preparatory Academy PCS",37,-1,"Cluster 37",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"18",1100,"Achievement Preparatory Academy PCS",38,21,"Cluster 38",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"19",1100,"Achievement Preparatory Academy PCS",39,68,"Cluster 39",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"20",1100,"Achievement Preparatory Academy PCS",7,-1,"Cluster 7",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"21",1100,"Achievement Preparatory Academy PCS",8,-1,"Cluster 8",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"22",1100,"Achievement Preparatory Academy PCS",9,-1,"Cluster 9",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"23",1100,"Achievement Preparatory Academy PCS",NA,165,"UNENCODABLE",NA,"Achievement Preparatory Academy PCS","www.aprepacademy.org","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38.83432822,-76.99226882,8,9801,TRUE,TRUE,FALSE
"24",202,"Aiton ES",18,-1,"Cluster 18",NA,"Aiton ES","www.dcps.dc.gov","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.89700181,-76.93370092,7,7804,TRUE,FALSE,FALSE
"25",202,"Aiton ES",2,-1,"Cluster 2",NA,"Aiton ES","www.dcps.dc.gov","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.89700181,-76.93370092,7,7804,TRUE,FALSE,FALSE
"26",202,"Aiton ES",24,-1,"Cluster 24",NA,"Aiton ES","www.dcps.dc.gov","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.89700181,-76.93370092,7,7804,TRUE,FALSE,FALSE
"27",202,"Aiton ES",26,-1,"Cluster 26",NA,"Aiton ES","www.dcps.dc.gov","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.89700181,-76.93370092,7,7804,TRUE,FALSE,FALSE
"28",202,"Aiton ES",29,-1,"Cluster 29",NA,"Aiton ES","www.dcps.dc.gov","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.89700181,-76.93370092,7,7804,TRUE,FALSE,FALSE
