School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,F53,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE,latitude,longitude,ward,census_tract
2012-2013,District of Columbia Public Schools,Turner ES,1,329,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,3264 Stanton Rd SE,NULL,20032,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3264 STANTON ROAD SE,401708.96,131092.7,38.84763644,-76.98031323,Ward 8,7404,20020,294561,,100,DC Address,,38.84763644,-76.98031323,Ward 8,7404
2012-2013,District of Columbia Public Schools,Tyler ES,1,330,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20003,1001 G St  SE,NULL,20003,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1001 G STREET SE,400690.52,134805.51,38.88108436,-76.99204166,Ward 6,7000,20003,294505,,100,DC Address,,38.88108436,-76.99204166,Ward 6,7000
2012-2013,District of Columbia Public Schools,Walker Jones EC,1,332,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20001,1125 New Jersey Ave NW,NULL,20001,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,1125 NEW JERSEY AVENUE NW,398792.97,137370.7,38.90419198,-77.01391569,Ward 6,4701,20001,307735,,100,DC Address,,38.90419198,-77.01391569,Ward 6,4701
2012-2013,District of Columbia Public Schools,Watkins ES Capitol Hill Cluster,1,333,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20003,420 12th St  SE,NULL,20003,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,420 12TH STREET SE,400867.92,135070.02,38.88346701,-76.98999677,Ward 6,6900,20003,294486,,100,DC Address,,38.88346701,-76.98999677,Ward 6,6900
2012-2013,District of Columbia Public Schools,Wheatley EC,1,335,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,1299 Neal St NE,NULL,20002,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,NULL,1299 NEAL STREET NE,400997.43,137362.43,38.90411774,-76.98850077,Ward 5,8802,20002,294512,,100,DC Address,,38.90411774,-76.98850077,Ward 5,8802
2012-2013,District of Columbia Public Schools,West EC,1,336,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,1338 Farragut St  NW,NULL,20011,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,1338 FARRAGUT STREET NW,397204.26,142607.98,38.95136741,-77.03225306,Ward 4,2002,20011,294517,,100,DC Address,,38.95136741,-77.03225306,Ward 4,2002
2012-2013,District of Columbia Public Schools,Whittier EC,1,338,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,6201 5th St  NW,NULL,20011,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,6201 5TH STREET NW,398332.71,144216.17,38.96585727,-77.0192386,Ward 4,1902,20011,294614,,100,DC Address,,38.96585727,-77.0192386,Ward 4,1902
2012-2013,District of Columbia Public Schools,J O Wilson ES,1,339,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,660 K Street NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,660 K STREET NE,400295.87,137211.43,38.902758,-76.99658902,Ward 6,10600,20002,288841,,100,DC Address,,38.902758,-76.99658902,Ward 6,10600
2012-2013,District of Columbia Public Schools,Ferebee Hope ES,1,343,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,3999 8th St  SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3999 8TH STREET SE,400419.94,129394.95,38.8323439,-76.99516344,Ward 8,9801,20032,294588,,100,DC Address,,38.8323439,-76.99516344,Ward 8,9801
2012-2013,District of Columbia Public Schools,"King, M L ES",1,344,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,3200 6th St  SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3200 6TH STREET SE,400152.88,130516.03,38.84244319,-76.99823899,Ward 8,9804,20032,294557,,100,DC Address,,38.84244319,-76.99823899,Ward 8,9804
