"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"67","100","239","Block Group 1, Census Tract 14.02, District of Columbia, District of Columbia","11","001","001402","1"
"68","78","177","Block Group 2, Census Tract 14.02, District of Columbia, District of Columbia","11","001","001402","2"
"69","65","297","Block Group 3, Census Tract 14.02, District of Columbia, District of Columbia","11","001","001402","3"
"70","148","424","Block Group 1, Census Tract 15, District of Columbia, District of Columbia","11","001","001500","1"
"71","108","260","Block Group 2, Census Tract 15, District of Columbia, District of Columbia","11","001","001500","2"
"72","71","248","Block Group 3, Census Tract 15, District of Columbia, District of Columbia","11","001","001500","3"
"73","242","479","Block Group 4, Census Tract 15, District of Columbia, District of Columbia","11","001","001500","4"
"74","93","204","Block Group 5, Census Tract 15, District of Columbia, District of Columbia","11","001","001500","5"
"75","44","256","Block Group 1, Census Tract 16, District of Columbia, District of Columbia","11","001","001600","1"
"76","95","209","Block Group 2, Census Tract 16, District of Columbia, District of Columbia","11","001","001600","2"
"77","18","210","Block Group 3, Census Tract 16, District of Columbia, District of Columbia","11","001","001600","3"
"78","95","466","Block Group 4, Census Tract 16, District of Columbia, District of Columbia","11","001","001600","4"
"79","59","293","Block Group 1, Census Tract 17.02, District of Columbia, District of Columbia","11","001","001702","1"
"80","54","226","Block Group 2, Census Tract 17.02, District of Columbia, District of Columbia","11","001","001702","2"
"81","45","293","Block Group 1, Census Tract 18.03, District of Columbia, District of Columbia","11","001","001803","1"
"82","167","385","Block Group 2, Census Tract 18.03, District of Columbia, District of Columbia","11","001","001803","2"
"83","5","210","Block Group 1, Census Tract 18.04, District of Columbia, District of Columbia","11","001","001804","1"
"84","80","358","Block Group 2, Census Tract 18.04, District of Columbia, District of Columbia","11","001","001804","2"
"85","89","358","Block Group 3, Census Tract 18.04, District of Columbia, District of Columbia","11","001","001804","3"
"86","34","273","Block Group 1, Census Tract 19.01, District of Columbia, District of Columbia","11","001","001901","1"
"87","44","189","Block Group 2, Census Tract 19.01, District of Columbia, District of Columbia","11","001","001901","2"
"88","54","253","Block Group 3, Census Tract 19.01, District of Columbia, District of Columbia","11","001","001901","3"
"89","23","262","Block Group 4, Census Tract 19.01, District of Columbia, District of Columbia","11","001","001901","4"
"90","48","313","Block Group 1, Census Tract 19.02, District of Columbia, District of Columbia","11","001","001902","1"
"91","17","247","Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia","11","001","001902","2"
