School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2012-2013,Center City PCS,Center City Capitol Hill Campus PCS,156,1104,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20003,1503 East Capitol St SE,NULL,20003,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1503 EAST CAPITOL STREET SE,401448.44000000,135742.68000000,38.88952582,-76.98330456,Ward 6,006801,20003,295125,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Congress Heights Campus PCS,156,1105,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20032,220 Highview Pl SE,NULL,20032,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,220 HIGHVIEW PLACE SE,399614.14000000,130420.96000000,38.84158668,-77.00444463,Ward 8,010400,20032,303702,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Petworth Campus PCS,156,1106,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20011,510 Webster St NW,NULL,20011,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,510 WEBSTER STREET NW,398187.59000000,141775.54000000,38.94387114,-77.02090667,Ward 4,002400,20011,303332,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Shaw Campus PCS,156,1107,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20001,711 N Street NW,NULL,20001,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,711 N STREET NW,398034.11000000,137731.91000000,38.90744452,-77.02266552,Ward 6,004902,20001,290191,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Trinidad Campus PCS,156,1108,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20002,1217 W  Virginia Ave NE,NULL,20002,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1217 WEST VIRGINIA AVENUE NE,400763.10000000,137493.55000000,38.90529915,-76.99120218,Ward 5,008802,20002,285938,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Amos III Amstrong,113,1109,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20001,1400 1st St NW,NULL,20001,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1400 1ST STREET NW,398853.47000000,137913.33000000,38.90908026,-77.01321910,Ward 5,004600,20001,238253,100.00000000,DC Address,
2012-2013,D.C. Preparatory Academy PCS,D C  Preparatory Benning Campus PCS,115,1110,1100048,Regular school,Regular School,www.dcprep.org,Yes,Open,NULL,Washington,20019,100 41st St NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,100 41ST STREET NE,404787.00000000,135910.06000000,38.89102180,-76.94482148,Ward 7,009603,20019,294468,100.00000000,DC Address,
2012-2013,Early Childhood Academy PCS,Early Childhood Academy PCS Walter Washington,118,1112,1100057,Regular school,Regular School,www.ecapcs.org,Yes,Open,NULL,Washington,20032,4301 9th St SE,NULL,20032,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,4301 9TH STREET SE,400902.69000000,129245.01000000,38.83099281,-76.98960367,Ward 8,009700,20032,298086,100.00000000,DC Address,
2012-2013,Excel Academy PCS,Excel Academy PCS,158,1113,1100076,Regular school,Regular School,www.excelpcs.org,Yes,Open,NULL,Washington,20020,2501 Martin Luther King Jr Ave SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2501 MARTIN LUTHER KING JR AVENUE SE,400403.19000000,132438.56000000,38.85976209,-76.99535457,Ward 8,007401,20020,278172,100.00000000,DC Address,
2012-2013,Howard Road Academy PCS,Howard Road Academy PCS Pennsylvania Ave,123,1114,1100029,Regular school,Regular School,www.HowardRoadAcademy.org,Yes,Open,NULL,Washington,20020,3000 Pennsylvania Av SE,NULL,20020,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3000 PENNSYLVANIA AVENUE SE,403140.27000000,133701.05000000,38.87112961,-76.96381301,Ward 7,009901,20020,42549,100.00000000,DC Address,
2012-2013,Imagine Southeast PCS,Imagine Southeast PCS,159,1116,1100074,Regular school,Regular School,www.imaginesoutheastpcs.org,Yes,Open,NULL,Washington,20032,3100 Martin Luther King Jr Ave SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,3100 MARTIN LUTHER KING JR AVENUE SE,400161.23000000,130633.04000000,38.84349726,-76.99814278,Ward 8,010400,20032,301280,100.00000000,DC Address,
2012-2013,Washington Yu Ying PCS,Washington Yu Ying PCS,160,1117,1100077,Regular school,Regular School,www.washingtonyuying.org,Yes,Open,NULL,Washington,20017,220 Taylor Street NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,220 TAYLOR STREET NE,399680.78000000,141482.69000000,38.94123488,-77.00368216,Ward 5,009501,20017,50738,100.00000000,DC Address,
2012-2013,Washington Latin PCS,Washington Latin PCS HS,151,1118,1100019,Regular school,Regular School,www.latinpcs.org,Yes,Open,NULL,Washington,20011,4715 16th Street NW,NULL,20011,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,4715 16TH STREET NW,396875.21000000,142239.02000000,38.94804261,-77.03604746,Ward 4,002501,20011,255699,100.00000000,DC Address,
2012-2013,Carlos Rosario International PCS,Carlos Rosario International PCS Harvard Street Campus,162,1119,1100004,Adult Education,Regular School,www.carlosrosario.org,Yes,Open,NULL,Washington,20009,1100 Harvard St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,1100 HARVARD STREET NW,397610.44000000,139843.33000000,38.92646384,-77.02755753,Ward 1,003600,20009,300733,100.00000000,DC Address,
2012-2013,National Collegiate Preparatory PCS,National Collegiate Prep PCS,163,1120,1100079,Regular school,Regular School,www.nationalprepdc.org,Yes,Open,NULL,Washington,20032,4600 Livingston Rd SE,NULL,20032,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,4600 LIVINGSTON ROAD SE,399731.95000000,128458.05000000,38.82390393,-77.00308684,Ward 8,009810,20032,294600,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC Promise PCS,129,1121,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20019,4801 Benning Rd SE,NULL,20019,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4801 BENNING ROAD SE,405692.28000000,134978.83000000,38.88262754,-76.93439427,Ward 7,009907,20019,17421,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC Discover PCS,129,1122,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20020,2600 Douglass Rd SE,NULL,20020,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2601 DOUGLASS ROAD SE,401078.58000000,132172.13000000,38.85736141,-76.98757335,Ward 8,007406,20020,276167,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC College Prep PCS,129,1123,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20020,2600 Douglass Rd SE,NULL,20020,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2601 DOUGLASS ROAD SE,401078.58000000,132172.13000000,38.85736141,-76.98757335,Ward 8,007406,20020,276167,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS Tech Prep,120,1124,1100008,Vocational Shared Time,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20032,1601 16th St SE,NULL,20032,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,1601 16TH STREET SE,401468.56000000,133584.50000000,38.87008406,-76.98307725,Ward 8,007601,20020,155922,100.00000000,DC Address,
2012-2013,Eagle Academy PCS,Eagle Academy PCS New Jersey Avenue Campus,117,1125,1100049,Regular school,Regular School,www.eagleacademypcs.org,Yes,Open,NULL,Washington,20003,1017 New Jersey Ave SE,NULL,20003,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,1017 NEW JERSEY AVENUE SE,399558.98000000,134445.10000000,38.87783780,-77.00508258,Ward 6,007200,20003,276169,100.00000000,DC Address,
2012-2013,Howard Road Academy PCS,Howard Road Academy PCS  MLK Campus,123,1126,1100029,Regular school,Regular School,www.HowardRoadAcademy.org,Yes,Open,NULL,Washington,20020,2405 ML King Ave SE,NULL,20020,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,2405 MARTIN LUTHER KING JR AVENUE SE,400639.64000000,132770.45000000,38.86275176,-76.99262996,Ward 8,007401,20020,147816,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC GROW Academy PCS,129,1129,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20001,421 P St NW,NULL,20001,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,421 P STREET NW,398428.65000000,138002.89000000,38.90988639,-77.01811734,Ward 6,004801,20001,294487,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS SouthEast Academy,120,113,1100008,Special Education school,Special education school,www.friendshipschools.org,Yes,Open,NULL,Washington,20032,645 Milwaukee Place SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,645 MILWAUKEE PLACE SE,400259.75000000,131109.73000000,38.84779147,-76.99700774,Ward 8,010400,20032,1655,100.00000000,DC Address,
2012-2013,Carlos Rosario International PCS,Carlos Rosario International PCS S Street Campus,162,1134,1100004,Adult Education,Regular School,www.carlosrosario.org,Yes,Open,NULL,Washington,20009,1501 Columbia Rd NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,1501 COLUMBIA ROAD NW,396874.22000000,139902.78000000,38.92699707,-77.03604824,Ward 1,002802,20009,297688,100.00000000,DC Address,
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Oklahoma,103,1137,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20002,320 21st Street NE,NULL,20002,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,320 21ST STREET NE,402129.08000000,136264.62000000,38.89422626,-76.97545754,Ward 7,007903,20002,287504,100.00000000,DC Address,
2012-2013,E.L. Haynes PCS,E.L. Haynes Kansas Avenue - High School,116,1138,1100043,Regular School,Regular School,www.elhaynes.org,Yes,Open,NULL,Washington,20010,4501 Kansas Ave NW,NULL,20010,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,4501 KANSAS AVENUE NW,398056.76000000,141967.70000000,38.94560189,-77.02241638,Ward 4,002400,20011,284930,100.00000000,DC Address,
2012-2013,Hope Community Academy PCS,Hope Community PCS Tolson Campus,121,114,1100051,Regular school,Regular School,www.hopecommunitycs.org,Yes,Open,NULL,Washington,20017,2917 8th St NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,2917 8TH STREET NE,400466.83000000,139897.04000000,38.92695080,-76.99461626,Ward 5,009201,20017,43392,100.00000000,DC Address,
2012-2013,Howard University Middle School of Math and Science,Howard University Middle School of Math and Science PCS,124,115,1100058,Regular school,Regular School,www.howard.edu/ms2,Yes,Open,NULL,Washington,20059,405 Howard Pl NW,NULL,20059,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,405 HOWARD PLACE NW,398341.18000000,139441.04000000,38.92284156,-77.01912932,Ward 1,003400,20059,291490,100.00000000,DC Address,
