"","school_code","school_name","cluster","count","cluster_str","school.year","schoolname","school_type","charter.status","school_address","prek.3","prek.4","preschool","kindergarten","grade.1","grade.2","grade.3","grade.4","grade.5","grade.6","grade.7","grade.8","grade.9","grade.10","grade.11","grade.12","lon","lat"
"18",1100,"Achievement Preparatory Academy PCS",38,21,"Cluster 38",NA,"Achievement Preparatory Academy PCS","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-76.9925319,38.8338562
"19",1100,"Achievement Preparatory Academy PCS",39,68,"Cluster 39",NA,"Achievement Preparatory Academy PCS","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-76.9925319,38.8338562
"20",1100,"Achievement Preparatory Academy PCS",7,-1,"Cluster 7",NA,"Achievement Preparatory Academy PCS","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-76.9925319,38.8338562
"21",1100,"Achievement Preparatory Academy PCS",8,-1,"Cluster 8",NA,"Achievement Preparatory Academy PCS","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-76.9925319,38.8338562
"22",1100,"Achievement Preparatory Academy PCS",9,-1,"Cluster 9",NA,"Achievement Preparatory Academy PCS","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-76.9925319,38.8338562
"23",1100,"Achievement Preparatory Academy PCS",NA,165,"UNENCODABLE",NA,"Achievement Preparatory Academy PCS","Regular school",TRUE,"908 Wahler Pl  SE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-76.9925319,38.8338562
"24",202,"Aiton ES",18,-1,"Cluster 18",NA,"Aiton ES","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.9340386,38.8961055
"25",202,"Aiton ES",2,-1,"Cluster 2",NA,"Aiton ES","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.9340386,38.8961055
"26",202,"Aiton ES",24,-1,"Cluster 24",NA,"Aiton ES","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.9340386,38.8961055
"27",202,"Aiton ES",26,-1,"Cluster 26",NA,"Aiton ES","Regular school",FALSE,"533 48th Pl  NE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.9340386,38.8961055
