school_code,school_name,cluster,count
140,AppleTree Early Learning Center PCS Columbia Heights,Cluster 9,-1
140,AppleTree Early Learning Center PCS Columbia Heights,UNENCODABLE,18
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 18,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 25,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 28,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 30,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 31,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 32,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 33,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 34,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 35,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 36,14
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 37,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 38,20
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 39,15
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 8,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,Cluster 9,-1
3072,AppleTree Early Learning Center PCS Douglass Knoll,UNENCODABLE,14
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 17,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 18,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 19,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 21,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 22,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 23,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 24,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 25,13
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 26,11
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 27,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 29,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 3,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 30,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 32,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 33,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 34,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 35,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 38,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 39,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 7,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 8,-1
3073,AppleTree Early Learning Center PCS Lincoln,Cluster 9,-1
3073,AppleTree Early Learning Center PCS Lincoln,UNENCODABLE,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 17,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 18,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 2,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 21,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 22,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 23,15
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 25,28
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 26,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 28,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 29,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 3,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 30,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 31,14
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 32,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 33,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 34,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 35,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 36,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 37,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 38,-1
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 39,12
1137,AppleTree Early Learning Center PCS Oklahoma,Cluster 8,-1
1137,AppleTree Early Learning Center PCS Oklahoma,UNENCODABLE,18
3074,AppleTree Early Learning Center PCS Parkland,Cluster 17,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 2,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 25,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 26,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 28,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 30,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 31,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 32,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 33,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 34,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 36,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 37,-1
3074,AppleTree Early Learning Center PCS Parkland,Cluster 38,30
3074,AppleTree Early Learning Center PCS Parkland,Cluster 39,13
3074,AppleTree Early Learning Center PCS Parkland,Cluster 7,-1
3074,AppleTree Early Learning Center PCS Parkland,UNENCODABLE,18
141,AppleTree Early Learning Center PCS Riverside,Cluster 14,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 18,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 25,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 26,-1
